order_id,order_datetime,orderitem_id,quantity,product_id,price,name
1,2019-08-03 20:25:00,1,2,6,0.8,Plain Papadum
1,2019-08-03 20:25:00,2,1,240,12.95,King Prawn Balti
1,2019-08-03 20:25:00,3,1,19,2.95,Garlic Naan
1,2019-08-03 20:25:00,4,1,36,3.95,Mushroom Rice
1,2019-08-03 20:25:00,5,1,111,8.95,Paneer Tikka Masala
1,2019-08-03 20:25:00,6,1,3,0.5,Mango Chutney
2,2019-08-03 20:17:00,7,1,11,2.6,Plain Naan
2,2019-08-03 20:17:00,8,1,36,3.95,Mushroom Rice
2,2019-08-03 20:17:00,9,1,55,4.95,Tandoori Chicken (1/4)
2,2019-08-03 20:17:00,10,1,98,7.95,Vindaloo - Lamb
2,2019-08-03 20:17:00,11,1,8,1.95,Chapati
2,2019-08-03 20:17:00,12,1,58,4.95,Lamb Tikka
2,2019-08-03 20:17:00,13,1,66,5.95,Saag Paneer
3,2019-08-03 20:09:00,14,1,54,4.95,Aloo Chaat
3,2019-08-03 20:09:00,15,1,68,5.95,Chicken Pakora
3,2019-08-03 20:09:00,16,1,169,9.95,Chicken Chilli Garlic
3,2019-08-03 20:09:00,17,1,170,9.95,Lamb Biryani
3,2019-08-03 20:09:00,18,1,13,2.95,Keema Naan
4,2019-08-03 20:01:00,19,1,68,5.95,Chicken Pakora
4,2019-08-03 20:01:00,20,1,6,0.8,Plain Papadum
4,2019-08-03 20:01:00,21,1,3,0.5,Mango Chutney
4,2019-08-03 20:01:00,22,1,4,0.5,Red Sauce
4,2019-08-03 20:01:00,23,1,191,9.95,Korma - Prawn
4,2019-08-03 20:01:00,24,1,14,2.95,Peshwari Naan
4,2019-08-03 20:01:00,25,1,15,2.95,Pilau Rice
5,2019-08-03 19:44:00,26,1,165,9.95,Chicken Balti
5,2019-08-03 19:44:00,27,2,34,3.95,Special Fried Rice
6,2019-08-03 19:42:00,28,1,103,8.95,Chicken Tikka Masala
6,2019-08-03 19:42:00,29,1,95,7.95,Curry - Lamb
6,2019-08-03 19:42:00,30,1,15,2.95,Pilau Rice
6,2019-08-03 19:42:00,31,1,14,2.95,Peshwari Naan
6,2019-08-03 19:42:00,32,1,6,0.8,Plain Papadum
7,2019-08-03 19:41:00,33,2,6,0.8,Plain Papadum
7,2019-08-03 19:41:00,34,1,38,3.95,Vegetable Rice
7,2019-08-03 19:41:00,35,1,203,9.95,Saag - Prawn
7,2019-08-03 19:41:00,36,1,136,8.95,Tandoori Chicken Masala
8,2019-08-03 19:29:00,37,1,15,2.95,Pilau Rice
8,2019-08-03 19:29:00,38,1,144,8.95,Lamb Tikka Chilli Masala
8,2019-08-03 19:29:00,39,1,14,2.95,Peshwari Naan
8,2019-08-03 19:29:00,40,1,74,5.95,Saag Aloo
9,2019-08-03 19:28:00,41,1,79,5.95,Aloo Gobi
9,2019-08-03 19:28:00,42,1,64,5.95,Bhindi Bhajee
9,2019-08-03 19:28:00,43,1,66,5.95,Saag Paneer
9,2019-08-03 19:28:00,44,2,1,0.5,Mint Sauce
9,2019-08-03 19:28:00,45,1,176,9.95,Chicken Biryani
