OrderID,ProductName,ProductPrice,ProductQuantity,OrderDateTime
1,Plain Papadum,0.8,2,2019-08-03 20:25:00
1,King Prawn Balti,12.95,1,2019-08-03 20:25:00
1,Garlic Naan,2.95,1,2019-08-03 20:25:00
1,Mushroom Rice,3.95,1,2019-08-03 20:25:00
1,Paneer Tikka Masala,8.95,1,2019-08-03 20:25:00
1,Mango Chutney,0.5,1,2019-08-03 20:25:00
2,Plain Naan,2.6,1,2019-08-03 20:17:00
2,Mushroom Rice,3.95,1,2019-08-03 20:17:00
2,Tandoori Chicken (1/4),4.95,1,2019-08-03 20:17:00
2,Vindaloo - Lamb,7.95,1,2019-08-03 20:17:00
2,Chapati,1.95,1,2019-08-03 20:17:00
2,Lamb Tikka,4.95,1,2019-08-03 20:17:00
2,Saag Paneer,5.95,1,2019-08-03 20:17:00
3,Aloo Chaat,4.95,1,2019-08-03 20:09:00
3,Chicken Pakora,5.95,1,2019-08-03 20:09:00
3,Chicken Chilli Garlic,9.95,1,2019-08-03 20:09:00
3,Lamb Biryani,9.95,1,2019-08-03 20:09:00
3,Keema Naan,2.95,1,2019-08-03 20:09:00
4,Chicken Pakora,5.95,1,2019-08-03 20:01:00
4,Plain Papadum,0.8,1,2019-08-03 20:01:00
4,Mango Chutney,0.5,1,2019-08-03 20:01:00
4,Red Sauce,0.5,1,2019-08-03 20:01:00
4,Korma - Prawn,9.95,1,2019-08-03 20:01:00
4,Peshwari Naan,2.95,1,2019-08-03 20:01:00
4,Pilau Rice,2.95,1,2019-08-03 20:01:00
5,Chicken Balti,9.95,1,2019-08-03 19:44:00
5,Special Fried Rice,3.95,2,2019-08-03 19:44:00
6,Chicken Tikka Masala,8.95,1,2019-08-03 19:42:00
6,Curry - Lamb,7.95,1,2019-08-03 19:42:00
6,Pilau Rice,2.95,1,2019-08-03 19:42:00
6,Peshwari Naan,2.95,1,2019-08-03 19:42:00
6,Plain Papadum,0.8,1,2019-08-03 19:42:00
7,Plain Papadum,0.8,2,2019-08-03 19:41:00
7,Vegetable Rice,3.95,1,2019-08-03 19:41:00
7,Saag - Prawn,9.95,1,2019-08-03 19:41:00
7,Tandoori Chicken Masala,8.95,1,2019-08-03 19:41:00
8,Pilau Rice,2.95,1,2019-08-03 19:29:00
8,Lamb Tikka Chilli Masala,8.95,1,2019-08-03 19:29:00
8,Peshwari Naan,2.95,1,2019-08-03 19:29:00
8,Saag Aloo,5.95,1,2019-08-03 19:29:00
9,Aloo Gobi,5.95,1,2019-08-03 19:28:00
9,Bhindi Bhajee,5.95,1,2019-08-03 19:28:00
9,Saag Paneer,5.95,1,2019-08-03 19:28:00
9,Mint Sauce,0.5,2,2019-08-03 19:28:00
9,Chicken Biryani,9.95,1,2019-08-03 19:28:00
9,Garlic Naan,2.95,1,2019-08-03 19:28:00
9,Plain Naan,2.6,1,2019-08-03 19:28:00
9,Tandoori Chicken Masala,8.95,1,2019-08-03 19:28:00
10,Plain Papadum,0.8,4,2019-08-03 19:26:00
10,Red Sauce,0.5,2,2019-08-03 19:26:00
10,Chicken Tikka Masala,8.95,1,2019-08-03 19:26:00
10,Madras - Chicken Tikka,7.95,1,2019-08-03 19:26:00
10,Mushroom Rice,3.95,2,2019-08-03 19:26:00
10,Garlic Naan,2.95,1,2019-08-03 19:26:00
10,Bombay Aloo,5.95,1,2019-08-03 19:26:00
11,Onion Bhajee,3.95,1,2019-08-03 19:25:00
11,Sheek Kebab,4.95,1,2019-08-03 19:25:00
11,Plain Papadum,0.8,8,2019-08-03 19:25:00
11,Mango Chutney,0.5,2,2019-08-03 19:25:00
11,Mint Sauce,0.5,2,2019-08-03 19:25:00
11,Onion Chutney,0.5,1,2019-08-03 19:25:00
11,Chicken Tikka (Main),8.95,1,2019-08-03 19:25:00
11,Korma - Chicken,8.95,1,2019-08-03 19:25:00
11,Chicken Tikka Masala,8.95,1,2019-08-03 19:25:00
11,Plain Rice,2.95,1,2019-08-03 19:25:00
11,Pilau Rice,2.95,1,2019-08-03 19:25:00
11,Keema Naan,2.95,2,2019-08-03 19:25:00
11,French Fries,3.95,1,2019-08-03 19:25:00
11,Chicken Biryani,9.95,1,2019-08-03 19:25:00
11,Mushroom Rice,3.95,1,2019-08-03 19:25:00
12,Onion Bhajee,3.95,1,2019-08-03 19:16:00
12,Korma - Chicken,8.95,1,2019-08-03 19:16:00
12,Peshwari Naan,2.95,1,2019-08-03 19:16:00
12,Pilau Rice,2.95,1,2019-08-03 19:16:00
13,Chicken Tikka (Main),8.95,1,2019-08-03 18:37:00
13,Chicken Tikka Masala,8.95,1,2019-08-03 18:37:00
13,Meat Samosa,3.95,1,2019-08-03 18:37:00
14,Plain Papadum,0.8,2,2019-08-03 18:36:00
14,Mango Chutney,0.5,1,2019-08-03 18:36:00
14,Mint Sauce,0.5,1,2019-08-03 18:36:00
14,Red Sauce,0.5,1,2019-08-03 18:36:00
14,Keema Rice,3.95,1,2019-08-03 18:36:00
14,Keema Naan,2.95,1,2019-08-03 18:36:00
14,Chicken Chilli Garlic,9.95,1,2019-08-03 18:36:00
14,Lamb Hari Mirch,9.95,1,2019-08-03 18:36:00
14,Mushroom Bhajee,5.95,1,2019-08-03 18:36:00
15,Curry - Chicken,7.95,1,2019-08-03 18:36:00
15,Bombay Aloo,5.95,1,2019-08-03 18:36:00
15,Plain Naan,2.6,1,2019-08-03 18:36:00
15,Vegetable Rice,3.95,1,2019-08-03 18:36:00
16,Chicken Tikka Biryani,10.95,1,2019-08-03 18:34:00
16,Mixed Starter,5.95,1,2019-08-03 18:34:00
17,Onion Bhajee,3.95,1,2019-08-03 18:32:00
17,Chicken Tikka Biryani,10.95,1,2019-08-03 18:32:00
17,Bhuna - Chicken Tikka,8.95,1,2019-08-03 18:32:00
17,Mushroom Rice,3.95,1,2019-08-03 18:32:00
18,Keema Rice,3.95,1,2019-08-03 18:12:00
18,Madras - Lamb,7.95,1,2019-08-03 18:12:00
18,Bombay Aloo,5.95,1,2019-08-03 18:12:00
19,Masala Sauce,3.95,1,2019-08-03 18:00:00
19,Mushroom Rice,3.95,1,2019-08-03 18:00:00
