id,quantity,order_id,product_id,datetime,price,name
1,2,1,6,2019-08-03 20:25:00,0.8,Plain Papadum
2,1,1,240,2019-08-03 20:25:00,12.95,King Prawn Balti
3,1,1,19,2019-08-03 20:25:00,2.95,Garlic Naan
4,1,1,36,2019-08-03 20:25:00,3.95,Mushroom Rice
5,1,1,111,2019-08-03 20:25:00,8.95,Paneer Tikka Masala
6,1,1,3,2019-08-03 20:25:00,0.5,Mango Chutney
7,1,2,11,2019-08-03 20:17:00,2.6,Plain Naan
8,1,2,36,2019-08-03 20:17:00,3.95,Mushroom Rice
9,1,2,55,2019-08-03 20:17:00,4.95,Tandoori Chicken (1/4)
10,1,2,98,2019-08-03 20:17:00,7.95,Vindaloo - Lamb
11,1,2,8,2019-08-03 20:17:00,1.95,Chapati
12,1,2,58,2019-08-03 20:17:00,4.95,Lamb Tikka
13,1,2,66,2019-08-03 20:17:00,5.95,Saag Paneer
14,1,3,54,2019-08-03 20:09:00,4.95,Aloo Chaat
15,1,3,68,2019-08-03 20:09:00,5.95,Chicken Pakora
16,1,3,169,2019-08-03 20:09:00,9.95,Chicken Chilli Garlic
17,1,3,170,2019-08-03 20:09:00,9.95,Lamb Biryani
18,1,3,13,2019-08-03 20:09:00,2.95,Keema Naan
19,1,4,68,2019-08-03 20:01:00,5.95,Chicken Pakora
20,1,4,6,2019-08-03 20:01:00,0.8,Plain Papadum
21,1,4,3,2019-08-03 20:01:00,0.5,Mango Chutney
22,1,4,4,2019-08-03 20:01:00,0.5,Red Sauce
23,1,4,191,2019-08-03 20:01:00,9.95,Korma - Prawn
24,1,4,14,2019-08-03 20:01:00,2.95,Peshwari Naan
25,1,4,15,2019-08-03 20:01:00,2.95,Pilau Rice
26,1,5,165,2019-08-03 19:44:00,9.95,Chicken Balti
27,2,5,34,2019-08-03 19:44:00,3.95,Special Fried Rice
28,1,6,103,2019-08-03 19:42:00,8.95,Chicken Tikka Masala
29,1,6,95,2019-08-03 19:42:00,7.95,Curry - Lamb
30,1,6,15,2019-08-03 19:42:00,2.95,Pilau Rice
31,1,6,14,2019-08-03 19:42:00,2.95,Peshwari Naan
