id,price,name
1,0.5,Mint Sauce
2,0.5,Lime Pickle
3,0.5,Mango Chutney
4,0.5,Red Sauce
5,0.5,Onion Chutney
6,0.8,Plain Papadum
7,0.8,Spicy Papadum
8,1.95,Chapati
9,1.95,Puree
10,2.6,Tandoori Roti
11,2.6,Plain Naan
12,2.95,Raitha
13,2.95,Keema Naan
14,2.95,Peshwari Naan
15,2.95,Pilau Rice
16,2.95,Green Salad
17,2.95,Bottle Coke
18,2.95,Plain Rice
19,2.95,Garlic Naan
20,2.95,Onion Naan
21,2.95,Paratha
22,2.95,Bottle Diet Coke
23,2.95,Kulcha Naan
24,2.95,Lemonade 1.5 ltr
25,2.95,Diet Coke 1.5 ltr
26,2.95,Coke 1.5 ltr
27,3.95,Dhansak Sauce
28,3.95,Onion Bhajee
29,3.95,Lemon Rice
30,3.95,French Fries
31,3.95,Garlic Rice
32,3.95,Onion Rice
33,3.95,Perrier Water (750ml)
34,3.95,Special Fried Rice
35,3.95,Meat Samosa
36,3.95,Mushroom Rice
37,3.95,Korma Sauce
38,3.95,Vegetable Rice
39,3.95,Egg Rice
40,3.95,Curry Sauce
41,3.95,Egg Paratha
42,3.95,Keema Rice
43,3.95,Stuffed Paratha
44,3.95,COBRA (330ML)
45,3.95,Saag Rice
46,3.95,Masala Sauce
47,3.95,Madras Sauce
48,3.95,Vindaloo Sauce
49,3.95,Bengal Salad
50,3.95,Still Water (750ml)
51,3.95,Prier Water (750ml)
52,3.95,Onion Bhaji
53,3.95,Chicken Tikka
54,4.95,Aloo Chaat
55,4.95,Tandoori Chicken (1/4)
56,4.95,Chicken Chaat
57,4.95,Prawn Puree
58,4.95,Lamb Tikka
59,4.95,Vegetable Roll
60,4.95,Sheek Kebab
61,4.95,Sheek Kehab
62,4.95,Vegetable Samosa
63,5.95,King Prawn Puree
64,5.95,Bhindi Bhajee
65,5.95,Tarka Dall
66,5.95,Saag Paneer
67,5.95,Baingan Hari Mirch
68,5.95,Chicken Pakora
69,5.95,COBRA ( LARGE )
70,5.95,Royal Paneer
71,5.95,Muttar Paneer
72,5.95,Chana Masala
73,5.95,Bombay Aloo
74,5.95,Saag Aloo
75,5.95,Aloo Methi
