id,datetime,name,quantity,price
1,2019-08-03 20:25:00,Plain Papadum,2,0.8
2,2019-08-03 20:25:00,King Prawn Balti,1,12.95
3,2019-08-03 20:25:00,Garlic Naan,1,2.95
4,2019-08-03 20:25:00,Mushroom Rice,1,3.95
5,2019-08-03 20:25:00,Paneer Tikka Masala,1,8.95
6,2019-08-03 20:25:00,Mango Chutney,1,0.5
7,2019-08-03 20:17:00,Plain Naan,1,2.6
8,2019-08-03 20:17:00,Mushroom Rice,1,3.95
9,2019-08-03 20:17:00,Tandoori Chicken (1/4),1,4.95
10,2019-08-03 20:17:00,Vindaloo - Lamb,1,7.95
11,2019-08-03 20:17:00,Chapati,1,1.95
12,2019-08-03 20:17:00,Lamb Tikka,1,4.95
13,2019-08-03 20:17:00,Saag Paneer,1,5.95
14,2019-08-03 20:09:00,Aloo Chaat,1,4.95
15,2019-08-03 20:09:00,Chicken Pakora,1,5.95
16,2019-08-03 20:09:00,Chicken Chilli Garlic,1,9.95
17,2019-08-03 20:09:00,Lamb Biryani,1,9.95
18,2019-08-03 20:09:00,Keema Naan,1,2.95
19,2019-08-03 20:01:00,Chicken Pakora,1,5.95
20,2019-08-03 20:01:00,Plain Papadum,1,0.8
21,2019-08-03 20:01:00,Mango Chutney,1,0.5
22,2019-08-03 20:01:00,Red Sauce,1,0.5
23,2019-08-03 20:01:00,Korma - Prawn,1,9.95
24,2019-08-03 20:01:00,Peshwari Naan,1,2.95
25,2019-08-03 20:01:00,Pilau Rice,1,2.95
26,2019-08-03 19:44:00,Chicken Balti,1,9.95
27,2019-08-03 19:44:00,Special Fried Rice,2,3.95
28,2019-08-03 19:42:00,Chicken Tikka Masala,1,8.95
29,2019-08-03 19:42:00,Curry - Lamb,1,7.95
30,2019-08-03 19:42:00,Pilau Rice,1,2.95
31,2019-08-03 19:42:00,Peshwari Naan,1,2.95
32,2019-08-03 19:42:00,Plain Papadum,1,0.8
33,2019-08-03 19:41:00,Plain Papadum,2,0.8
34,2019-08-03 19:41:00,Vegetable Rice,1,3.95
35,2019-08-03 19:41:00,Saag - Prawn,1,9.95
36,2019-08-03 19:41:00,Tandoori Chicken Masala,1,8.95
37,2019-08-03 19:29:00,Pilau Rice,1,2.95
38,2019-08-03 19:29:00,Lamb Tikka Chilli Masala,1,8.95
39,2019-08-03 19:29:00,Peshwari Naan,1,2.95
40,2019-08-03 19:29:00,Saag Aloo,1,5.95
41,2019-08-03 19:28:00,Aloo Gobi,1,5.95
42,2019-08-03 19:28:00,Bhindi Bhajee,1,5.95
43,2019-08-03 19:28:00,Saag Paneer,1,5.95
44,2019-08-03 19:28:00,Mint Sauce,2,0.5
45,2019-08-03 19:28:00,Chicken Biryani,1,9.95
46,2019-08-03 19:28:00,Garlic Naan,1,2.95
47,2019-08-03 19:28:00,Plain Naan,1,2.6
48,2019-08-03 19:28:00,Tandoori Chicken Masala,1,8.95
49,2019-08-03 19:26:00,Plain Papadum,4,0.8
50,2019-08-03 19:26:00,Red Sauce,2,0.5
51,2019-08-03 19:26:00,Chicken Tikka Masala,1,8.95
52,2019-08-03 19:26:00,Madras - Chicken Tikka,1,7.95
53,2019-08-03 19:26:00,Mushroom Rice,2,3.95
54,2019-08-03 19:26:00,Garlic Naan,1,2.95
55,2019-08-03 19:26:00,Bombay Aloo,1,5.95
56,2019-08-03 19:25:00,Onion Bhajee,1,3.95
57,2019-08-03 19:25:00,Sheek Kebab,1,4.95
58,2019-08-03 19:25:00,Plain Papadum,8,0.8
59,2019-08-03 19:25:00,Mango Chutney,2,0.5
60,2019-08-03 19:25:00,Mint Sauce,2,0.5
61,2019-08-03 19:25:00,Onion Chutney,1,0.5
62,2019-08-03 19:25:00,Chicken Tikka (Main),1,8.95
63,2019-08-03 19:25:00,Korma - Chicken,1,8.95
64,2019-08-03 19:25:00,Chicken Tikka Masala,1,8.95
65,2019-08-03 19:25:00,Plain Rice,1,2.95
66,2019-08-03 19:25:00,Pilau Rice,1,2.95
67,2019-08-03 19:25:00,Keema Naan,2,2.95
