oi_id,quantity,datetime,product_name,product_price
1,2,2019-08-03 20:25:00,Plain Papadum,0.8
2,1,2019-08-03 20:25:00,King Prawn Balti,12.95
3,1,2019-08-03 20:25:00,Garlic Naan,2.95
4,1,2019-08-03 20:25:00,Mushroom Rice,3.95
5,1,2019-08-03 20:25:00,Paneer Tikka Masala,8.95
6,1,2019-08-03 20:25:00,Mango Chutney,0.5
7,1,2019-08-03 20:17:00,Plain Naan,2.6
8,1,2019-08-03 20:17:00,Mushroom Rice,3.95
9,1,2019-08-03 20:17:00,Tandoori Chicken (1/4),4.95
10,1,2019-08-03 20:17:00,Vindaloo - Lamb,7.95
11,1,2019-08-03 20:17:00,Chapati,1.95
12,1,2019-08-03 20:17:00,Lamb Tikka,4.95
13,1,2019-08-03 20:17:00,Saag Paneer,5.95
14,1,2019-08-03 20:09:00,Aloo Chaat,4.95
15,1,2019-08-03 20:09:00,Chicken Pakora,5.95
16,1,2019-08-03 20:09:00,Chicken Chilli Garlic,9.95
17,1,2019-08-03 20:09:00,Lamb Biryani,9.95
18,1,2019-08-03 20:09:00,Keema Naan,2.95
19,1,2019-08-03 20:01:00,Chicken Pakora,5.95
20,1,2019-08-03 20:01:00,Plain Papadum,0.8
21,1,2019-08-03 20:01:00,Mango Chutney,0.5
22,1,2019-08-03 20:01:00,Red Sauce,0.5
23,1,2019-08-03 20:01:00,Korma - Prawn,9.95
24,1,2019-08-03 20:01:00,Peshwari Naan,2.95
25,1,2019-08-03 20:01:00,Pilau Rice,2.95
26,1,2019-08-03 19:44:00,Chicken Balti,9.95
27,2,2019-08-03 19:44:00,Special Fried Rice,3.95
28,1,2019-08-03 19:42:00,Chicken Tikka Masala,8.95
29,1,2019-08-03 19:42:00,Curry - Lamb,7.95
30,1,2019-08-03 19:42:00,Pilau Rice,2.95
31,1,2019-08-03 19:42:00,Peshwari Naan,2.95
32,1,2019-08-03 19:42:00,Plain Papadum,0.8
33,2,2019-08-03 19:41:00,Plain Papadum,0.8
34,1,2019-08-03 19:41:00,Vegetable Rice,3.95
35,1,2019-08-03 19:41:00,Saag - Prawn,9.95
36,1,2019-08-03 19:41:00,Tandoori Chicken Masala,8.95
37,1,2019-08-03 19:29:00,Pilau Rice,2.95
38,1,2019-08-03 19:29:00,Lamb Tikka Chilli Masala,8.95
39,1,2019-08-03 19:29:00,Peshwari Naan,2.95
40,1,2019-08-03 19:29:00,Saag Aloo,5.95
41,1,2019-08-03 19:28:00,Aloo Gobi,5.95
42,1,2019-08-03 19:28:00,Bhindi Bhajee,5.95
43,1,2019-08-03 19:28:00,Saag Paneer,5.95
44,2,2019-08-03 19:28:00,Mint Sauce,0.5
45,1,2019-08-03 19:28:00,Chicken Biryani,9.95
46,1,2019-08-03 19:28:00,Garlic Naan,2.95
47,1,2019-08-03 19:28:00,Plain Naan,2.6
48,1,2019-08-03 19:28:00,Tandoori Chicken Masala,8.95
49,4,2019-08-03 19:26:00,Plain Papadum,0.8
50,2,2019-08-03 19:26:00,Red Sauce,0.5
51,1,2019-08-03 19:26:00,Chicken Tikka Masala,8.95
52,1,2019-08-03 19:26:00,Madras - Chicken Tikka,7.95
53,2,2019-08-03 19:26:00,Mushroom Rice,3.95
54,1,2019-08-03 19:26:00,Garlic Naan,2.95
55,1,2019-08-03 19:26:00,Bombay Aloo,5.95
56,1,2019-08-03 19:25:00,Onion Bhajee,3.95
57,1,2019-08-03 19:25:00,Sheek Kebab,4.95
58,8,2019-08-03 19:25:00,Plain Papadum,0.8
59,2,2019-08-03 19:25:00,Mango Chutney,0.5
60,2,2019-08-03 19:25:00,Mint Sauce,0.5
61,1,2019-08-03 19:25:00,Onion Chutney,0.5
62,1,2019-08-03 19:25:00,Chicken Tikka (Main),8.95
63,1,2019-08-03 19:25:00,Korma - Chicken,8.95
64,1,2019-08-03 19:25:00,Chicken Tikka Masala,8.95
65,1,2019-08-03 19:25:00,Plain Rice,2.95
66,1,2019-08-03 19:25:00,Pilau Rice,2.95
67,2,2019-08-03 19:25:00,Keema Naan,2.95
68,1,2019-08-03 19:25:00,French Fries,3.95
69,1,2019-08-03 19:25:00,Chicken Biryani,9.95
70,1,2019-08-03 19:25:00,Mushroom Rice,3.95
71,1,2019-08-03 19:16:00,Onion Bhajee,3.95
72,1,2019-08-03 19:16:00,Korma - Chicken,8.95
73,1,2019-08-03 19:16:00,Peshwari Naan,2.95
74,1,2019-08-03 19:16:00,Pilau Rice,2.95
75,1,2019-08-03 18:37:00,Chicken Tikka (Main),8.95
76,1,2019-08-03 18:37:00,Chicken Tikka Masala,8.95
77,1,2019-08-03 18:37:00,Meat Samosa,3.95
78,2,2019-08-03 18:36:00,Plain Papadum,0.8
79,1,2019-08-03 18:36:00,Mango Chutney,0.5
80,1,2019-08-03 18:36:00,Mint Sauce,0.5
81,1,2019-08-03 18:36:00,Red Sauce,0.5
82,1,2019-08-03 18:36:00,Keema Rice,3.95
83,1,2019-08-03 18:36:00,Keema Naan,2.95
84,1,2019-08-03 18:36:00,Chicken Chilli Garlic,9.95
85,1,2019-08-03 18:36:00,Lamb Hari Mirch,9.95
86,1,2019-08-03 18:36:00,Mushroom Bhajee,5.95
87,1,2019-08-03 18:36:00,Curry - Chicken,7.95
88,1,2019-08-03 18:36:00,Bombay Aloo,5.95
89,1,2019-08-03 18:36:00,Plain Naan,2.6
90,1,2019-08-03 18:36:00,Vegetable Rice,3.95
91,1,2019-08-03 18:34:00,Chicken Tikka Biryani,10.95
92,1,2019-08-03 18:34:00,Mixed Starter,5.95
93,1,2019-08-03 18:32:00,Onion Bhajee,3.95
94,1,2019-08-03 18:32:00,Chicken Tikka Biryani,10.95
95,1,2019-08-03 18:32:00,Bhuna - Chicken Tikka,8.95
96,1,2019-08-03 18:32:00,Mushroom Rice,3.95
97,1,2019-08-03 18:12:00,Keema Rice,3.95
98,1,2019-08-03 18:12:00,Madras - Lamb,7.95
99,1,2019-08-03 18:12:00,Bombay Aloo,5.95
100,1,2019-08-03 18:00:00,Masala Sauce,3.95
101,1,2019-08-03 18:00:00,Mushroom Rice,3.95
102,1,2019-08-03 18:00:00,Bottle Coke,2.95
103,1,2019-08-03 18:00:00,Peshwari Naan,2.95
104,2,2019-08-03 18:00:00,Tandoori Mixed Grill,11.95
105,3,2019-08-03 18:00:00,Plain Papadum,0.8
106,1,2019-08-03 18:00:00,Mint Sauce,0.5
107,1,2019-08-03 18:00:00,Mango Chutney,0.5
108,1,2019-08-03 18:00:00,Korma Sauce,3.95
109,1,2019-08-03 17:58:00,Pathia - Prawn,9.95
110,1,2019-08-03 17:58:00,Chicken Biryani,9.95
111,2,2019-08-03 17:58:00,Peshwari Naan,2.95
112,1,2019-08-03 17:58:00,Plain Papadum,0.8
113,1,2019-08-03 17:58:00,Mint Sauce,0.5
114,1,2019-08-03 17:57:00,Chicken Tikka Jalfrezi,8.95
115,1,2019-08-03 17:57:00,Bhuna - Lamb,8.95
116,2,2019-08-03 17:57:00,Special Fried Rice,3.95
117,1,2019-08-03 17:57:00,Peshwari Naan,2.95
118,1,2019-08-03 17:57:00,Aloo Gobi,5.95
119,1,2019-08-03 17:57:00,Chicken Tikka Masala,8.95
120,1,2019-08-03 17:52:00,Meat Samosa,3.95
121,1,2019-08-03 17:52:00,Mixed Vegetable Curry,5.95
122,1,2019-08-03 17:52:00,Dupiaza - Lamb,8.95
123,1,2019-08-03 17:52:00,Lemon Rice,3.95
124,1,2019-08-03 17:52:00,Methi - Lamb,8.95
125,1,2019-08-03 17:52:00,Pilau Rice,2.95
126,1,2019-08-03 17:52:00,Garlic Naan,2.95
127,1,2019-08-03 17:52:00,Onion Bhajee,3.95
128,1,2019-08-03 17:52:00,Spicy Papadum,0.8
129,1,2019-08-03 17:18:00,Plain Naan,2.6
130,1,2019-08-03 17:18:00,Pilau Rice,2.95
131,1,2019-08-03 17:18:00,Chicken Tikka Masala,8.95
132,1,2019-08-03 17:18:00,Bhuna - Lamb,8.95
133,2,2019-08-03 17:18:00,Plain Papadum,0.8
134,1,2019-08-03 16:21:00,Lamb Biryani,9.95
135,2,2019-08-03 16:21:00,Plain Naan,2.6
136,1,2019-08-02 20:23:00,Lamb Tikka,4.95
137,1,2019-08-02 20:23:00,Onion Bhajee,3.95
138,1,2019-08-02 20:23:00,Saag Paneer,5.95
139,1,2019-08-02 20:23:00,Chicken Tikka Masala,8.95
140,1,2019-08-02 20:23:00,Keema Rice,3.95
141,1,2019-08-02 20:23:00,Rogon - Lamb,8.95
142,1,2019-08-02 20:23:00,Chicken Tikka Karahi,9.95
143,1,2019-08-02 20:23:00,Pilau Rice,2.95
144,1,2019-08-02 20:23:00,Bombay Aloo,5.95
145,1,2019-08-02 20:18:00,Onion Bhajee,3.95
146,1,2019-08-02 20:18:00,French Fries,3.95
147,1,2019-08-02 20:18:00,Chicken Tikka Masala,8.95
148,1,2019-08-02 20:18:00,Korma - Chicken,8.95
149,1,2019-08-02 20:18:00,Plain Naan,2.6
150,1,2019-08-02 20:18:00,Pilau Rice,2.95
151,1,2019-08-02 19:33:00,Aloo Chaat,4.95
152,1,2019-08-02 19:33:00,Chicken Tikka Masala,8.95
153,1,2019-08-02 19:33:00,Garlic Naan,2.95
154,1,2019-08-02 19:33:00,Pilau Rice,2.95
155,1,2019-08-02 19:33:00,Bhuna - Chicken,8.95
156,3,2019-08-02 19:19:00,Plain Papadum,0.8
157,1,2019-08-02 19:19:00,Lemon Rice,3.95
158,1,2019-08-02 19:19:00,Lamb Mysore,9.95
159,1,2019-08-02 19:19:00,Dhansak - Chicken,8.95
160,1,2019-08-02 19:19:00,Chapati,1.95
161,2,2019-08-02 19:14:00,Lamb Biryani,9.95
162,1,2019-08-02 19:14:00,Peshwari Naan,2.95
163,1,2019-08-02 18:41:00,Onion Bhajee,3.95
164,1,2019-08-02 18:41:00,Aloo Gobi,5.95
165,1,2019-08-02 18:41:00,Chicken Biryani,9.95
166,1,2019-08-02 18:41:00,Madras - Chicken,7.95
167,1,2019-08-02 18:41:00,Korma - Chicken,8.95
168,1,2019-08-02 18:41:00,Chicken Balti,9.95
169,1,2019-08-02 18:41:00,Chicken Tikka Chilli Masala,8.95
170,1,2019-08-02 18:41:00,Lal Mirch Chicken,9.95
